rank,filename,p_no_defect,p_defect,predicted_label,uncertainty_entropy,drift_novelty_raw,drift_norm,information_score,selected,kcenter_order,distance_to_nearest_selected_final
1,unlabeled_pool/6Oct13-689-1.BMP,0.3258807957172394,0.674119234085083,1,0.9106622997912079,8.643669143965514,0.7777134647077659,0.8441878822494869,True,1,0.0
2,unlabeled_pool/6Oct13-191.BMP,0.48211103677749634,0.5178889632225037,1,0.9990764347826734,7.713488093174274,0.640132367815982,0.8196044012993278,False,,8.573609219709873
3,unlabeled_pool/6Oct13-208.BMP,0.5148652195930481,0.4851348400115967,0,0.9993622838844474,7.509489607229788,0.6099593865059117,0.8046608351951796,True,13,0.0
4,unlabeled_pool/6Oct13-759-1.BMP,0.14775411784648895,0.8522458076477051,1,0.6041914189583664,9.301403730585818,0.8749975857011043,0.7395945023297353,True,8,0.0
5,unlabeled_pool/6Oct13-725-1.BMP,0.14691264927387238,0.8530874252319336,1,0.6020598830736098,9.234791967164808,0.8651451817314008,0.7336025324025053,True,14,0.0
6,unlabeled_pool/6Oct13-468.BMP,0.6686363816261292,0.33136361837387085,0,0.9163135126326909,7.090240598529503,0.5479491591004906,0.7321313358665907,False,,7.678660393179199
7,unlabeled_pool/6Oct13-321.BMP,0.637128472328186,0.36287152767181396,0,0.9450409864597555,6.801672301550149,0.5052676372689695,0.7251543118643625,False,,7.9317026826134045
8,unlabeled_pool/6Oct13-192.BMP,0.8343891501426697,0.1656109094619751,0,0.6475651600784473,8.801144344134153,0.8010052859656008,0.724285223022024,True,3,0.0
9,unlabeled_pool/6Oct13-300-2.BMP,0.13282066583633423,0.8671793341636658,1,0.5651234364136993,9.322564342899875,0.8781274067725972,0.7216254215931482,True,2,0.0
10,unlabeled_pool/6Oct13-777-1.BMP,0.1402406096458435,0.8597593903541565,1,0.5848685999244576,9.154409495011501,0.853255981580185,0.7190622907523213,True,18,0.0
11,unlabeled_pool/6Oct13-375.BMP,0.3669549822807312,0.6330450177192688,1,0.9483053210880814,6.58965699609562,0.4739089052700016,0.7111071131790415,True,20,0.0
12,unlabeled_pool/6Oct13-795-1.BMP,0.2123619168996811,0.7876380681991577,1,0.7459732837272116,7.87171529140518,0.663535415504606,0.7047543496159088,True,16,0.0
13,unlabeled_pool/6Oct13-220.BMP,0.663028359413147,0.3369717001914978,0,0.9218912573302772,6.663362471147752,0.48481052500948846,0.7033508911698828,False,,7.208776291870246
14,unlabeled_pool/6Oct13-299.BMP,0.2930457890033722,0.7069541811943054,1,0.8726232880033982,6.956478552467495,0.5281646999309062,0.7003939939671522,False,,7.7859319157421405
15,unlabeled_pool/6Oct13-720.BMP,0.12581169605255127,0.8741883039474487,1,0.5458388249072246,9.153476190164392,0.8531179384492371,0.6994783816782308,True,5,0.0
16,unlabeled_pool/6Oct13-276.BMP,0.6592715382575989,0.3407284617424011,0,0.9255140875611371,6.564348822129065,0.4701656271934542,0.6978398573772957,False,,7.592101956161401
17,unlabeled_pool/6Oct13-643-1.BMP,0.09364477545022964,0.9063552618026733,1,0.4485199443269876,9.618834976298105,0.9219481647692036,0.6852340545480956,True,12,0.0
18,unlabeled_pool/6Oct13-380-2.BMP,0.4605468213558197,0.5394531488418579,1,0.9955040807503857,5.90274386442197,0.3723090478609075,0.6839065643056466,False,,7.11271289006291
19,unlabeled_pool/6Oct13-772.BMP,0.5449660420417786,0.45503389835357666,0,0.9941580287116911,5.804490890100908,0.3577766598183073,0.6759673442649992,False,,7.21831315569755
20,unlabeled_pool/6Oct13-211.BMP,0.5945419073104858,0.40545815229415894,0,0.9740539596509851,5.907043276472632,0.37294496473474276,0.6734994621928639,False,,7.012711599104507
21,unlabeled_pool/6Oct13-736-1.BMP,0.15401053428649902,0.845989465713501,1,0.6197863274448341,8.173880511293039,0.7082280292268013,0.6640071783358177,True,9,0.0
22,unlabeled_pool/6Oct13-430.BMP,0.7222212553024292,0.2777787446975708,0,0.8524065115562901,6.574376509910631,0.47164880112298396,0.662027656339637,False,,6.415470271105491
23,unlabeled_pool/6Oct13-280.BMP,0.6526975035667419,0.34730246663093567,0,0.9316358538447863,6.0248433775202965,0.3903685266341326,0.6610021902394594,False,,7.403788834876593
24,unlabeled_pool/6Oct13-742-1.BMP,0.10851109772920609,0.8914888501167297,1,0.49540864704701953,8.963939471579204,0.8250839663294675,0.6602463066882435,True,11,0.0
25,unlabeled_pool/6Oct13-648-1.BMP,0.10054945200681686,0.8994506001472473,1,0.47073483220204176,9.103888498023233,0.845783528582137,0.6582591803920894,True,4,0.0
26,unlabeled_pool/6Oct13-245.BMP,0.5962247252464294,0.40377530455589294,0,0.9731161909206677,5.7012973487014165,0.34251352302809535,0.6578148569743816,False,,6.569379907669313
27,unlabeled_pool/6Oct13-207.BMP,0.5794785618782043,0.4205213785171509,0,0.9816959162218282,5.602716417714612,0.3279326276139813,0.6548142719179048,False,,6.860647183411612
28,unlabeled_pool/6Oct13-376.BMP,0.5603074431419373,0.43969258666038513,0,0.9894802701921785,5.507219407885687,0.3138078684061121,0.6516440692991453,False,,7.0049194810547215
29,unlabeled_pool/6Oct13-749.BMP,0.6366826891899109,0.3633172810077667,0,0.9454023978348863,5.757770213461878,0.3508663041041629,0.6481343509695247,False,,6.79783382331186
30,unlabeled_pool/6Oct13-460.BMP,0.7511517405509949,0.24884822964668274,0,0.8094475335115435,6.6737726892141165,0.48635027817822346,0.6478989058448835,False,,8.300745424260592
31,unlabeled_pool/6Oct13-474.BMP,0.15374399721622467,0.8462559580802917,1,0.6191309433214958,7.941689198212558,0.6738851069374441,0.6465080251294699,True,7,0.0
32,unlabeled_pool/6Oct13-189.BMP,0.7813220620155334,0.21867792308330536,0,0.7577460874526449,6.9993568832641975,0.5345067424600257,0.6461264149563353,True,10,0.0
33,unlabeled_pool/6Oct13-259-1.BMP,0.1284875124692917,0.8715124726295471,1,0.5532755620400382,8.369178692774677,0.7371141670451955,0.6451948645426169,True,17,0.0
34,unlabeled_pool/6Oct13-287-1.BMP,0.1934370994567871,0.8065629005432129,1,0.7086064866680508,7.3169818390304275,0.5814859727693837,0.6450462297187173,False,,8.151762493766148
35,unlabeled_pool/6Oct13-480-1.BMP,0.12946951389312744,0.8705305457115173,1,0.5559814538690278,8.339076396910581,0.7326618006156489,0.6443216272423383,True,19,0.0
36,unlabeled_pool/6Oct13-290-1.BMP,0.06105104461312294,0.9389489889144897,1,0.3316030759056551,9.763801823228304,0.9433899021563871,0.6374964890310211,True,6,0.0
37,unlabeled_pool/6Oct13-250.BMP,0.2774864733219147,0.7225134968757629,1,0.852003335906892,6.213906913626631,0.4183325113418652,0.6351679236243786,False,,8.324605666231902
38,unlabeled_pool/6Oct13-210.BMP,0.6140943169593811,0.3859057128429413,0,0.9621064458847369,5.456653537558039,0.30632877828806704,0.634217612086402,False,,6.766084243894076
39,unlabeled_pool/6Oct13-871.BMP,0.3333394527435303,0.6666605472564697,1,0.9183019533431309,5.744248606156221,0.348866351983799,0.6335841526634649,False,,7.54442762957891
40,unlabeled_pool/6Oct13-791-2.BMP,0.1042737066745758,0.8957263231277466,1,0.4823983095007311,8.646818787673793,0.7781793217963775,0.6302888156485543,True,15,0.0
